.......ap57..........     .......ap90..........
 23178 pramaT            20516 pramaT      
 23188 pramad            20524 pramad      
 23209 pramA             20542 pramA       
 23214 pramARayati       20546 pramARayati 
 23217 pramARIkf         20548 pramARIkf   
 23229 pramid            20557 pramid      
 23231 pramI             20559 pramI       
 23239 pramuc            20566 pramuc      
 23244 pramud            20570 pramud      
 23251 pramuz            20577 pramuz      
 23254 pramuh            20579 pramuh      
 23260 pramfj            20585 pramfj      
 23266 pramlE            20589 pramlE      
 23268 prayat            20591 prayat      
 23271 prayam            20594 prayam      
 23278 prayas            20598 prayas      
 23282 prayA             20602 prayA       
 23291 prayuj            20611 prayuj      
 23310 praruc            20628 praruc      
 23313 praruh            20631 praruh      
 23321 pralap            20638 pralap      
 23328 pralaB            20643 pralaB      
 23335 pralambIkf        20650 pralaMbIkf  
 23339 pralI             20654 pralI       
 23342 praluW            20657 praluW      
 23345 praluB            20659 praluB      
 23358 pravac            20670 pravac      
 23367 pravaRAyati       20677 pravaRAyati 
 23369 pravaRIkf         20678 pravaRIkf   
 23372 pravad            20681 pravad      
 23377 pravap            20686 pravap      
 23389 pravalg           ---------------
 23390 pravas            20697 pravas      
 23397 pravah            20703 pravah      
 23425 pravicar          20729 pravicar    
 23429 pravical          20731 pravical    
 23438 praviDA           20739 praviDA     
 23442 praviBaj          20743 praviBaj    
 23446 praviBuj          ---------------
 23455 praviS            20752 praviS      
 23472 pravf             20766 pravf       
 23474 pravft            20768 pravft      
 23484 pravfD            20778 pravfD      
 23488 pravfz            20782 pravfz      
 23509 pravraj           20799 pravraj     
 23517 praSaMs           20806 praSaMs     
 23528 praSam            20816 praSam      
 23537 praSAs            20825 praSAs      
 23550 praSnayati        20837 praSnayati  
 23563 pras              20849 pras        
 23565 prasaMKyA         ---------------
 23569 prasaYj           20853 prasaMj     
 23578 prasad            20860 prasad      
 23596 prasah            20875 prasah      
 23586 prasAdIkf         20867 prasAdIkf   
 23610 prasiD            20889 prasiD      
 23617 prasu             20895 prasu       
 23631 prasU             ---------------
 23632 prasf             20909 prasf       
 23644 prasfj            20921 prasfj      
 23646 prasfp            20923 prasfp      
 23655 praskand          20930 praskaMd    
 23660 prasKal           20935 prasKal     
 23670 prastu            20942 prastu      
 23679 prasTA            20949 prasTA      
 23691 prasnu            20960 prasnu      
 23699 prasPuw           20965 prasPuw     
 23702 prasPur           20968 prasPur     
 23704 prasmi            ---------------
 23706 prasyand          20971 prasyaMd    
 23710 prasru            20974 prasru      
 23726 prasvf            ---------------
 23727 prahan            20989 prahan      
 23732 prahas            20993 prahas      
 23740 prahA             21001 prahA       
 23746 prahi             21006 prahi       
 23753 prahf             21012 prahf       
 23766 prahfz            21022 prahfz      
 23779 prahlAd           21034 prahlAd     
 23787 prahvayati        21040 prahvayati  
 23788 prahval           ---------------
 23791 prA               ---------------
 23850 prAR              21091 prAR        
 23910 prAduras          21144 prAduras    
 23911 prAdurBU          21145 prAdurBU    
 23931 prAp              21165 prAp        
 23971 prAyuD            ---------------
 23977 prAraB            21205 prAraB      
 23983 prArc             ---------------
 23986 prArT             21212 prArT       
 23994 prArD             ---------------
 24007 prAvf             21228 prAvf       
 24027 prAS              21248 prAS        
 24041 prAs              21260 prAs        
 24054 prAsAdIyati       21271 prAsAdIyati 
 24082 priyIya           ---------------
 24083 prI               21293 prI         
 24094 pru               21300 pru         
 24095 pruz              21301 pruz        
 24099 pre               21305 pre         
 24104 prekz             21310 prekz       
 24116 preNK             21322 preMK       
 24121 preNKol           21327 preMKol     
 24138 prez              21343 prez        
 24152 prokz             21355 prokz       
 24157 proccal           ---------------
 24161 procCal           ---------------
 24166 projJ             21365 projJ       
 24174 protayati         21373 protayati   
 24191 protsfp           ---------------
 24192 proT              21385 proT        
 24198 prodGuz           21389 prodGuz     
 24213 pronmIl           21399 pronmIl     
 24215 prorRu            ---------------
 24229 prOQIBU           21411 prOQIBU     
 24234 plakz             21415 plakz       
 24237 plih              21418 plih        
 24238 plI               21419 plI         
 24241 plu               21422 plu         
 24257 pluz              21436 pluz        
 24264 plus              21442 plus        
 24265 plev              21443 plev        
 24268 psA               21445 psA         
 24274 Pakk              21451 Pakk        
 24282 PaR               21457 PaR         
 24295 ParParAyate       21466 ParParAyate 
 24297 Pal               21468 Pal         
 24314 PalIkf            21482 PalIkf      
 24355 PurAPurAya        ---------------
 24357 Pull              21513 Pull        
 24373 Pel               21525 Pel         
 24378 baMh              21528 baMh        
 24383 bakabakAya        ---------------
 24385 bakAya            ---------------
 24397 bad               21542 bad         
 24403 baD               21547 baD         
 24405 baDirayati        21549 baDirayati  
 24408 band              ---------------
 24411 banD              21554 baMD        
 24442 bamb              21577 baMb        
 24447 barv              21581 barv        
 24456 barh              21589 barh        
 24467 bal               21600 bal         
 24472 balayati          21604 balayati    
 24473 balAyate          21605 balAyate    
 24524 bahizkf           21644 bahizkf     
 24544 bahulIkf          21661 bahulIkf    
 24548 bahulIBU          21664 bahulIBU    
 24554 bAq               21668 bAq         
 24568 bAD               21680 bAD         
 24601 bAliSIkf          ---------------
 24615 bAzpAyate         21721 bAzpAyate   
 24643 biw               21743 biw         
 24651 bid               21750 bid         
 24657 bindUya           ---------------
 24676 bil               21767 bil         
 24685 bis               21775 bis         
 24706 bukk              21793 bukk        
 24713 buw               21799 buw         
 24714 buq               21800 buq         
 24715 bud               21801 bud         
 24717 buD               21803 buD         
 24729 bund              21814 buMd        
 24730 bunD              ---------------
 24743 bul               21823 bul         
 24746 bus               21826 bus         
 24748 bust              21828 bust        
 24754 bfMh              21832 bfMh        
 24757 bfh               21835 bfh         
 24764 beh               21841 beh         
 24817 brU               21885 brU         
 24828 Bakz              21896 Bakz        
 24863 BaNgurayati       21928 BaMgurayati 
 24866 Baj               21930 Baj         
 24870 BaYj              21934 BaMj        
 24876 Baw               21940 Baw         
 24889 BaR               21950 BaR         
 24893 BaRq              21952 BaMq        
 24911 Ban               21966 Ban         
 24912 Band              21967 BaMd        
 24953 Barts             21999 Barts       
 24959 Barm              ---------------
 24961 Bal               22006 Bal         
 24963 Ball              22007 Ball        
 24993 Baz               22035 Baz         
 24998 Bas               22038 Bas         
 25010 BasmAkf           22049 BasmAkf     
 25013 BasmIBU           22052 BasmIBU     
 25014 BA                22053 BA          
 25035 BAj               22073 BAj         
 25071 BAm               22104 BAm         
 25079 BArAyate          22110 BArAyate    
 25122 BAz               22145 BAz         
 25132 BAs               22154 BAs         
 25145 Bikz              22167 Bikz        
 25154 Bid               22174 Bid         
 25179 BI                22197 BI          
 25205 Buj               22220 Buj         
 25219 BuRq              22233 BuMq        
 25232 BU                22244 BU          
 25244 BUmayati          22256 BUmayati    
 25259 BUz               22270 BUz         
 25262 BUzAya            ---------------
 25265 Bf                22275 Bf          
 25287 Bfj               22296 Bfj         
 25272 BftyAyate         22282 BftyAyate   
 25273 BftyIBU           22283 BftyIBU     
 25293 BfS               22302 BfS         
 25295 BfSAyate          22304 BfSAyate    
 25298 BF                22307 BF          
 25323 Bez               22326 Bez         
 25377 Byas              22371 Byas        
 25378 BraMS             22372 BraMS       
 25388 Brakz             22381 Brakz       
 25390 BraR              22383 BraR        
 25392 Bram              22385 Bram        
 25400 BramarAyate       22392 BramarAyate 
 25406 Brasj             22397 Brasj       
 25407 BrAj              22398 BrAj        
 25431 BrAS              22421 BrAS        
 25438 BrI               22428 BrI         
 25439 Bruq              22429 Bruq        
 25441 BrUR              22431 BrUR        
 25443 Brej              22433 Brej        
 25444 Brez              22434 Brez        
 25450 maMh              22440 maMh        
 25453 makamakAya        ---------------
 25469 makk              22455 makk        
 25473 makz              22459 makz        
 25477 maK               22462 maK         
 25484 magaDyati         22468 magaDyati   
 25491 maNk              22473 maMk        
 25500 maNg              22479 maMg        
 25510 maNG              22487 maMG        
 25511 mac               22488 mac         
 25520 maYc              22496 maMc        
 25524 maYj              22500 maMj        
 25529 maYjarIkf         ---------------
 25546 maW               22518 maW         
 25553 maR               22524 maR         
 25561 maRW              22531 maMW        
 25563 maRq              22533 maMq        
 25575 maRqalayati       22544 maMqalayati 
 25576 maRqalAyate       22545 maMqalAyate 
 25582 maRqalIkf         22550 maMqalIkf   
 25585 maRqalIBU         22553 maMqalIBU   
 25619 mad               22581 mad         
 25642 madrAyate         22599 madrAyate   
 25655 maDurayati        22609 maDurayati  
 25660 maDusyati         22614 maDusyati   
 25678 man               22629 man         
 25689 manasyati         22640 manasyati   
 25693 manIkf            ---------------
 25682 mantUyati         22633 maMtUyati   
 25712 mantr             22656 maMtr       
 25722 manT              22665 maMT        
 25731 mand              22673 maMd        
 25735 mandayati         22677 maMdayati   
 25736 mandAyate         22678 maMdAyate   
 25737 mandIkf           22679 maMdIkf     
 25738 mandIBU           22680 maMdIBU     
 25772 mab               22710 mab         
 25767 maBr              22705 maBr        
 25774 may               22712 may         
 25823 marc              22756 marc        
 25835 marb              22765 marb        
 25839 marmarAyate       22769 marmarAyate 
 25847 maryAdIkf         22777 maryAdIkf   
 25848 marv              22778 marv        
 25855 mal               22784 mal         
 25865 malinayati        22794 malinayati  
 25868 malinIkf          22797 malinIkf    
 25869 malinIBU          22798 malinIBU    
 25874 mall              22802 mall        
 25885 mav               22812 mav         
 25887 mavy              22813 mavy        
 25888 maS               22814 maS         
 25895 maz               22820 maz         
 25897 mas               22822 mas         
 25904 masIBU            ---------------
 25913 masfRayati        ---------------
 25915 mask              22838 mask        
 25918 masj              22841 masj        
 25925 mah               22848 mah         
 25962 mahIkf            ---------------
 25963 mahIyate          22879 mahIyate    
 25968 mA                22884 mA          
 25974 mAMsIyate         ---------------
 25992 mANkz             22903 mAMkz       
 26085 mAn               22982 mAn         
 26109 mAnT              23004 mAMT        
 26155 mArg              23045 mArg        
 26168 mArj              23055 mArj        
 26230 mAh               23112 mAh         
 26257 mi                23136 mi          
 26258 micC              23137 micC        
 26267 mitrati           23145 mitrati     
 26269 mitrAyate         23147 mitrAyate   
 26270 mitrIkf           23148 mitrIkf     
 26271 mitrIBU           23149 mitrIBU     
 26272 mitrIyati         23150 mitrIyati   
 26275 miT               23153 miT         
 26280 miTunAyate        23158 miTunAyate  
 26282 miTunIkf          23159 miTunIkf    
 26283 miTunIBU          23160 miTunIBU    
 26288 mid               23165 mid         
 26291 mind              23168 miMd        
 26293 minv              23169 minv        
 26298 mil               23172 mil         
 26306 miS               23178 miS         
 26308 miSr              23180 miSr        
 26315 miz               23185 miz         
 26317 mizamizAyate      ---------------
 26320 mih               23188 mih         
 26325 mI                23193 mI          
 26332 mIm               23199 mIm         
 26339 mIl               23204 mIl         
 26342 mIv               23207 mIv         
 26356 mukurAyate        ---------------
 26358 mukulayati        23219 mukulayati  
 26371 muKarayati        23230 muKarayati  
 26374 muKarIkf          23233 muKarIkf    
 26384 muc               23241 muc         
 26392 muj               23248 muj         
 26397 muw               23253 muw         
 26398 muR               23254 muR         
 26399 muRw              23255 muMw        
 26400 muRW              23256 muMW        
 26401 muRq              23257 muMq        
 26405 muRqayati         23261 muMqayati   
 26410 mud               23265 mud         
 26424 mudrayati         23277 mudrayati   
 26430 munT              23282 muMT        
 26437 mur               23289 mur         
 26448 murC              23299 murC        
 26451 murv              23302 murv        
 26452 mul               23303 mul         
 26456 muz               23306 muz         
 26471 muzwIkf           23320 muzwIkf     
 26474 mus               23323 mus         
 26481 must              23329 must        
 26486 muh               23332 muh         
 26496 mU                23342 mU          
 26502 mURW              ---------------
 26505 mUtrayati         23347 mUtrayati   
 26511 mUrcC             ---------------
 26527 mUl               23366 mUl         
 26539 mUz               23376 mUz         
 26550 mf                23385 mf          
 26552 mfg               23387 mfg         
 26563 mfj               23397 mfj         
 26568 mfYj              ---------------
 26569 mfq               23401 mfq         
 26575 mfR               23406 mfR         
 26592 mfd               23422 mfd         
 26608 mfD               23437 mfD         
 26612 mfS               23441 mfS         
 26613 mfz               23442 mfz         
 26615 mfzAyate          23444 mfzAyate    
 26620 mF                23449 mF          
 26621 me                23450 me          
 26630 meGayati          23458 meGayati    
 26634 mew               23460 mew         
 26645 meT               23469 meT         
 26657 meD               23479 meD         
 26669 mep               23490 mep         
 26679 mev               23500 mev         
 26683 mezAyate          23503 mezAyate    
 26715 mokz              23528 mokz        
 26719 mokzAyate         ---------------
 26723 moGAyate          ---------------
 26724 moGIkf            23534 moGIkf      
 26805 mnA               23601 mnA         
 26807 mrakz             23603 mrakz       
 26811 mrad              23606 mrad        
 26815 mruc              23608 mruc        
 26816 mruYc             23609 mruMc       
 26817 mrew              23610 mrew        
 26818 mlakz             23611 mlakz       
 26821 mlecC             23614 mlecC       
 26827 mlev              23620 mlev        
 26828 mlE               23621 mlE         
 26838 yakz              23630 yakz        
 26845 yaj               23637 yaj         
 26867 yat               23658 yat         
 26897 yantr             23685 yaMtr       
 26905 yaB               23692 yaB         
 26907 yam               23694 yam         
 26917 yamAyate          ---------------
 26948 yaSasyati         23728 yaSasyati   
 26955 yas               23735 yas         
 26960 yA                23738 yA          
 26963 yAc               23741 yAc         
 27027 yAminayati        23796 yAminayati  
 27058 yu                23819 yu          
 27069 yugalAyate        ---------------
 27074 yuNg              ---------------
 27077 yuj               23832 yuj         
 27081 yuYj              ---------------
 27083 yut               23836 yut         
 27087 yuD               23840 yuD         
 27100 yunT              ---------------
 27101 yup               23850 yup         
 27120 yUz               23863 yUz         
 27124 yez               23867 yez         
 27160 yOw               23898 yOw         
 27179 raMh              23914 raMh        
 27184 rak               23919 rak         
 27193 rakz              23927 rakz        
 27207 raK               23939 raK         
 27208 rag               23940 rag         
 27212 raNK              ---------------
 27213 raNg              23944 raMg        
 27217 raNG              23948 raMG        
 27219 rac               23950 rac         
 27232 rajasyati         23963 rajasyati   
 27236 rajjUkf           23966 rajjUkf     
 27237 raYj              23967 raMj        
 27242 raw               23972 raw         
 27246 raW               23976 raW         
 27247 raR               23977 raR         
 27254 raRv              ---------------
 27271 rad               23998 rad         
 27276 raD               24001 raD         
 27288 rap               24010 rap         
 27290 raP               24012 raP         
 27291 raB               24013 raB         
 27295 ram               24016 ram         
 27303 ramaRIyate        ---------------
 27307 ramB              24026 raMB        
 27312 ray               24030 ray         
 27316 rarP              ---------------
 27328 ras               24044 ras         
 27348 rah               24061 rah         
 27355 rA                24067 rA          
 27359 rAK               24071 rAK         
 27367 rAG               24076 rAG         
 27374 rAj               24081 rAj         
 27386 rAjAyate          24091 rAjAyate    
 27417 rAD               24112 rAD         
 27444 rASIkf            24137 rASIkf      
 27451 rAs               24143 rAs         
 27463 ri                24152 ri          
 27477 ric               24165 ric         
 27478 rij               24166 rij         
 27480 riRv              ---------------
 27484 riP               24171 riP         
 27485 riB               24172 riB         
 27487 rimP              24174 riMP        
 27489 rimb              ---------------
 27492 riS               24178 riS         
 27496 riz               24182 riz         
 27499 rizaRyati         24185 rizaRyati   
 27504 rih               24189 rih         
 27506 rI                24191 rI          
 27515 rIv               24198 rIv         
 27516 ru                24199 ru          
 27525 ruc               24208 ruc         
 27534 ruj               24217 ruj         
 27536 rujAyate          24219 rujAyate    
 27537 ruw               24220 ruw         
 27538 ruW               24221 ruW         
 27540 ruRw              24223 ruMw        
 27541 ruRW              24224 ruMW        
 27544 rud               24227 rud         
 27553 ruD               24234 ruD         
 27556 rup               24237 rup         
 27563 ruS               24242 ruS         
 27565 ruz               24244 ruz         
 27569 ruh               24248 ruh         
 27577 rUkz              24255 rUkz        
 27582 rUp               24259 rUp         
 27590 rUpIkf            ---------------
 27593 rUz               24267 rUz         
 27599 rek               24271 rek         
 27604 reKAyate          24276 reKAyate    
 27609 rej               24281 rej         
 27611 rew               24283 rew         
 27620 rep               24291 rep         
 27625 reb               24296 reb         
 27626 reB               24297 reB         
 27631 rev               24301 rev         
 27637 rez               24306 rez         
 27639 rE                24308 rE          
 27661 roq               24327 roq         
 27706 rOw               24368 rOw         
 27720 lak               24380 lak         
 27726 lakz              24386 lakz        
 27735 lakzIkf           24393 lakzIkf     
 27741 laK               24399 laK         
 27742 lag               24400 lag         
 27753 laGayati          24409 laGayati    
 27758 laGUkf            24414 laGUkf      
 27764 laNg              24420 laMg        
 27771 laNG              24425 laMG        
 27776 laC               24430 laC         
 27777 laj               24431 laj         
 27778 lajj              24432 lajj        
 27787 laYj              24441 laMj        
 27791 law               24445 law         
 27800 laq               24452 laq         
 27803 laRq              24456 laMq        
 27810 lap               24462 lap         
 27815 laB               24467 laB         
 27828 lamb              24478 laMb        
 27843 lay               24489 lay         
 27846 larv              24492 larv        
 27847 lal               24493 lal         
 27871 lavaRayati        24515 lavaRayati  
 27872 lavaRasyati       24516 lavaRasyati 
 27883 laS               24525 laS         
 27885 laz               24527 laz         
 27888 las               24530 las         
 27897 lasj              24537 lasj        
 27902 lA                24541 lA          
 27910 lAK               24549 lAK         
 27912 lAG               24551 lAG         
 27924 lAj               24561 lAj         
 27926 lAYC              24563 lAMC        
 27932 lAq               24569 lAq         
 27942 lAB               ---------------
 27955 lAlAyate          24588 lAlAyate    
 27988 liK               24618 liK         
 27994 liNK              24622 liMK        
 27997 liNg              24625 liMg        
 28008 lip               24634 lip         
 28025 liS               24649 liS         
 28028 lih               24652 lih         
 28031 lI                24654 lI          
 28036 lIlAyati          24659 lIlAyati    
 28041 luYc              24664 luMc        
 28046 luYj              ---------------
 28047 luw               24668 luw         
 28049 luW               24670 luW         
 28052 luq               24673 luq         
 28053 luRw              24674 luMw        
 28056 luRW              24677 luMW        
 28062 luRq              24683 luMq        
 28066 lunT              24686 luMT        
 28067 lup               24687 lup         
 28070 luB               24689 luB         
 28074 lumb              24693 luMb        
 28077 lul               24695 lul         
 28080 luz               24698 luz         
 28084 luh               24700 luh         
 28085 lU                24701 lU          
 28093 lUz               24707 lUz         
 28102 leKAyati          24715 leKAyati    
 28111 lewyati           24719 lewyati     
 28114 lep               24722 lep         
 28140 lER               24743 lER         
 28142 lok               24744 lok         
 28149 loc               24750 loc         
 28155 low               24754 low         
 28163 loq               24759 loq         
 28202 lozw              24788 lozw        
 28205 lozwAyate         ---------------
 28212 lohitati          24797 lohitati    
 28220 lOq               24804 lOq         
 28226 lpI               24810 lpI         
 28228 lvI               24811 lvI         
 28796 vaMh              25304 vaMh        
 28241 vakk              24823 vakk        
 28255 vakrIkf           24834 vakrIkf     
 28256 vakrIBU           24835 vakrIBU     
 28259 vakz              24839 vakz        
 28264 vaK               24844 vaK         
 28265 vaNk              24845 vaMk        
 28275 vaNg              24854 vaMg        
 28279 vaNG              24856 vaMG        
 28280 vac               24857 vac         
 28300 vaj               24874 vaj         
 28305 vaYc              24878 vaMc        
 28315 vaw               24886 vaw         
 28330 vaW               24898 vaW         
 28337 vaR               24905 vaR         
 28343 vaRw              24911 vaMw        
 28348 vaRW              24916 vaMW        
 28351 vaRq              24919 vaMq        
 28370 vatsalayati       24935 vatsalayati 
 28373 vad               24938 vad         
 28386 vaD               24950 vaD         
 28405 van               24967 van         
 28426 vanIyati          24986 vanIyati    
 28430 vand              24989 vaMd        
 28448 vap               25005 vap         
 28463 vaBr              25020 vaBr        
 28464 vam               25021 vam         
 28475 vay               25031 vay         
 28485 var               25041 var         
 28523 varivasyati       ---------------
 28555 vargayati         25097 vargayati   
 28562 varc              25103 varc        
 28573 varR              25114 varR        
 28610 varD              25147 varD        
 28630 varP              25161 varP        
 28660 val               25191 val         
 28689 valk              25214 valk        
 28696 valg              25220 valg        
 28705 valgUyati         25228 valgUyati   
 28706 valB              25229 valB        
 28711 valyUl            25234 valyUl      
 28712 vall              25235 vall        
 28727 valh              25247 valh        
 28729 vaS               25249 vaS         
 28748 vaz               25264 vaz         
 28750 vazk              25266 vazk        
 28753 vas               25269 vas         
 28772 vask              25285 vask        
 28777 vast              25290 vast        
 28787 vastrayati        25298 vastrayati  
 28797 vah               25305 vah         
 28806 vahanIkf          ---------------
 28818 vahnisAtkf        ---------------
 28822 vA                25325 vA          
 28840 vANkz             25340 vAMkz       
 28871 vAYC              25366 vAMC        
 28883 vAq               25377 vAq         
 28896 vAt               ---------------
 28902 vAtayati          25393 vAtayati    
 28962 vAntIkf           ---------------
 29074 vAvft             25531 vAvft       
 29076 vAS               25533 vAS         
 29087 vAs               25544 vAs         
 29133 vAh               25578 vAh         
 29165 vikacIkf          25605 vikacIkf    
 29168 vikatT            25607 vikatT      
 29172 vikamp            25610 vikaMp      
 29186 vikal             25620 vikal       
 29188 vikalayati        25622 vikalayati  
 29189 vikalIkf          25623 vikalIkf    
 29195 vikas             25628 vikas       
 29204 vikAS             25636 vikAS       
 29219 vikf              25647 vikf        
 29228 vikfz             25654 vikfz       
 29232 vikF              25658 vikF        
 29236 vikxp             25662 vikxp       
 29246 vikram            25668 vikram      
 29256 vikrI             25677 vikrI       
 29263 vikruS            25681 vikruS      
 29278 vikzip            25691 vikzip      
 29284 vikzuB            25697 vikzuB      
 29293 viKyA             25709 viKyA       
 29297 vigaR             25713 vigaR       
 29302 vigam             25716 vigam       
 29306 vigarh            25720 vigarh      
 29309 vigal             25723 vigal       
 29311 vigAh             25725 vigAh       
 29316 vigE              25730 vigE        
 29320 vigrah            25734 vigrah      
 29326 viGaw             25739 viGaw       
 29330 viGaww            25743 viGaww      
 29342 viGnayati         25752 viGnayati   
 29345 vic               25755 vic         
 29347 vicakz            ---------------
 29351 vicaw             ---------------
 29354 vicar             25760 vicar       
 29369 vical             25770 vical       
 29376 vici              25773 vici        
 29387 vicint            25782 viciMt      
 29394 vicezw            25787 vicezw      
 29399 vicC              25790 vicC        
 29405 vicCid            25796 vicCid      
 29410 vicCur            25801 vicCur      
 29413 vicyu             25803 vicyu       
 29416 vij               25806 vij         
 29423 vijan             25810 vijan       
 29439 viji              25822 viji        
 29454 vijfmB            25832 vijfMB      
 29462 vijYA             25838 vijYA       
 29482 viw               25853 viw         
 29495 viq               25864 viq         
 29499 viqamb            25867 viqaMb      
 29512 vitaq             ---------------
 29517 vitaTayati        25882 vitaTayati  
 29519 vitan             25884 vitan       
 29525 vitap             25890 vitap       
 29527 vitark            25892 vitark      
 29537 vitAnAyate        25902 vitAnAyate  
 29538 vitAnIkf          25903 vitAnIkf    
 29548 vitF              25908 vitF        
 29551 vitt              25911 vitt        
 29555 vitras            25915 vitras      
 29559 viT               25918 viT         
 29561 vid               25920 vid         
 29574 vidal             25930 vidal       
 29596 vidF              25946 vidF        
 29613 vidyut            25958 vidyut      
 29623 vidru             25965 vidru       
 29638 viD               25978 viD         
 29648 viDA              25984 viDA        
 29670 viDU              26003 viDU        
 29677 viDf              26008 viDf        
 29682 viDvaMs           26011 viDvaMs     
 29688 vinad             26015 vinad       
 29690 vinam             26017 vinam       
 29697 vinard            ---------------
 29699 vinaS             26024 vinaS       
 29715 vinikF            26038 vinikF      
 29718 vinikzip          26040 vinikzip    
 29722 vinigrah          26043 vinigrah    
 29726 vinipat           26046 vinipat     
 29734 viniyam           26050 viniyam     
 29737 viniyuj           26053 viniyuj     
 29741 vinirgam          26056 vinirgam    
 29743 vinirji           26058 vinirji     
 29750 vinirmuc          26065 vinirmuc    
 29755 viniviS           26069 viniviS     
 29758 vinivf            26071 vinivf      
 29759 vinivft           26072 vinivft     
 29762 viniSci           26075 viniSci     
 29770 vinI              26080 vinI        
 29780 vinud             26088 vinud       
 29789 vinyas            26095 vinyas      
 29793 vip               26098 vip         
 29797 vipac             26102 vipac       
 29801 vipaw             26106 vipaw       
 29805 vipaR             26108 vipaR       
 29811 vipad             26113 vipad       
 29817 viparigA          ---------------
 29818 vipariRam         26118 vipariRam   
 29821 viparivft         26120 viparivft   
 29824 viparI            26122 viparI      
 29829 viparyas          26127 viparyas    
 29855 viprakf           26146 viprakf     
 29860 viprakfz          26150 viprakfz    
 29867 vipratipad        26156 vipratipad  
 29881 viprayuj          26165 viprayuj    
 29884 vipralap          26168 vipralap    
 29887 vipralaB          26171 vipralaB    
 29895 vipralup          ---------------
 29901 vipravas          26177 vipravas    
 29914 viplu             26185 viplu       
 29924 viPalIkf          26192 viPalIkf    
 29925 viPalIBU          26193 viPalIBU    
 29926 vibanD            26194 vibaMD      
 29932 vibuD             26199 vibuD       
 29939 vibrU             26205 vibrU       
 29940 viBaj             26206 viBaj       
 29944 viBaYj            26209 viBaMj      
 29949 viBA              26212 viBA        
 29960 viBAz             26221 viBAz       
 29964 viBid             26224 viBid       
 29976 viBU              26230 viBU        
 29985 viBUz             26237 viBUz       
 29990 viBraMS           26242 viBraMS     
 29994 viBram            26246 viBram      
 29999 viBrAj            26251 viBrAj      
 30002 vimaT             26254 vimaT       
 30004 vimad             26256 vimad       
 30008 viman             26259 viman       
 30030 vimuc             26277 vimuc       
 30034 vimuh             26281 vimuh       
 30039 vimfd             26284 vimfd       
 30044 vimfS             26289 vimfS       
 30063 viyam             26305 viyam       
 30070 viyu              26309 viyu        
 30073 viyuj             26311 viyuj       
 30082 virac             26318 virac       
 30088 virajIkf          26324 virajIkf    
 30089 virajIBU          26325 virajIBU    
 30091 viraYj            26327 viraMj      
 30099 viram             26332 viram       
 30112 virAj             26344 virAj       
 30120 virAD             26351 virAD       
 30130 viru              26359 viru        
 30136 viruc             26364 viruc       
 30142 viruD             26368 viruD       
 30148 viruh             26373 viruh       
 30164 vil               26387 vil         
 30166 vilakz            26389 vilakz      
 30170 vilag             26393 vilag       
 30172 vilaNG            26395 vilaMG      
 30175 vilajj            26398 vilajj      
 30177 vilap             26400 vilap       
 30182 vilaB             ---------------
 30183 vilamb            26404 vilaMb      
 30193 vilas             26413 vilas       
 30206 viliK             26424 viliK       
 30211 vilip             26427 vilip       
 30221 vilI              26433 vilI        
 30228 vilup             26440 vilup       
 30234 viluB             26445 viluB       
 30239 vilul             26448 vilul       
 30242 vilok             26451 vilok       
 30258 vivad             26466 vivad       
 30269 vivalg            ---------------
 30271 vivas             26475 vivas       
 30276 vivah             26480 vivah       
 30284 vivic             26488 vivic       
 30289 vivf              26492 vivf        
 30293 vivfj             26496 vivfj       
 30297 vivft             26500 vivft       
 30303 vivfD             26506 vivfD       
 30314 viS               26517 viS         
 30318 viSaNk            26520 viSaMk      
 30326 viSas             26527 viSas       
 30346 viSiz             26545 viSiz       
 30356 viSuD             26555 viSuD       
 30371 viSraR            26568 viSraR      
 30373 viSram            26570 viSram      
 30378 viSramB           26575 viSraMB     
 30391 viSliz            26586 viSliz      
 30406 viSvas            26598 viSvas      
 30421 viz               26608 viz         
 30424 vizaYj            26611 vizaMj      
 30427 vizad             26614 vizad       
 30435 vizamIBU          26620 vizamIBU    
 30442 vizah             26625 vizah       
 30456 vizk              26638 vizk        
 30461 vizkand           26640 vizkaMd     
 30463 vizkamB           26642 vizkaMB     
 30472 vizwamB           26650 vizwaMB     
 30483 vizpand           26660 vizpaMd     
 30487 vizyand           26664 vizyaMd     
 30494 vis               26670 vis         
 30499 visaMvad          26674 visaMvad    
 30520 visf              26688 visf        
 30528 visfj             26695 visfj       
 30536 visfp             26702 visfp       
 30542 vistf             26706 vistf       
 30548 visTA             26712 visTA       
 ---------------      26714 visPur      
 30557 visPurj           26718 visPurj     
 30565 vismi             26723 vismi       
 30573 vismf             26730 vismf       
 30578 visraMs           26735 visraMs     
 30584 visru             26741 visru       
 30588 visvan            ---------------
 30596 vihan             26750 vihan       
 30601 vihas             26755 vihas       
 30605 vihA              26759 vihA        
 30614 vihf              26766 vihf        
 30628 vihel             ---------------
 30629 vihval            26778 vihval      
 30631 vI                26780 vI          
 30636 vIkz              26783 vIkz        
 30643 vIj               26790 vIj         
 30665 vIB               26813 vIB         
 30672 vIrAyate          26820 vIrAyate    
 30685 vuNg              26830 vuMg        
 30686 vuRw              26831 vuMw        
 30687 vunD              ---------------
 30691 vf                26835 vf          
 30695 vfk               ---------------
 30700 vfkz              26843 vfkz        
 30703 vfc               26846 vfc         
 30704 vfj               26847 vfj         
 30708 vfR               26850 vfR         
